Year,Event,Name,Medal,Gender,Country,Age,type
1931,Individual,Michał Sawicki,Gold,Unknown,Poland,Unknown,OUTDOOR
1931,Individual,Janina Kurkowska,Silver,Unknown,Poland,Unknown,OUTDOOR
1931,Individual,René Allexandre,Bronze,Unknown,France,Unknown,OUTDOOR
1932,Individual,Laurent Reth,Gold,Unknown,Belgium,Unknown,OUTDOOR
1932,Individual,Zbigniew Kosinski,Silver,Unknown,Poland,Unknown,OUTDOOR
1932,Individual,Janina Kurkowska,Bronze,Unknown,Poland,Unknown,OUTDOOR
1933,Men's individual,Donald MacKenzie,Gold,Male,States,Unknown,OUTDOOR
1933,Men's individual,Emil Heilborn,Silver,Male,Sweden,Unknown,OUTDOOR
1933,Men's individual,Georges de Rons,Bronze,Male,Belgium,Unknown,OUTDOOR
1933,Women's individual,Janina Kurkowska,Gold,Female,Poland,Unknown,OUTDOOR
1933,Women's individual,Louisa Sandford  Great Britain,Silver,Female,Britain,Unknown,OUTDOOR
1933,Women's individual,Marja Trajdosowna,Bronze,Female,Poland,Unknown,OUTDOOR
1934,Men's individual,Henry Kjelsson,Gold,Male,Sweden,Unknown,OUTDOOR
1934,Men's individual,Emil Heilborn,Silver,Male,Sweden,Unknown,OUTDOOR
1934,Men's individual,Oscar Kessels,Bronze,Male,Belgium,Unknown,OUTDOOR
1934,Women's individual,Janina Kurkowska,Gold,Female,Poland,Unknown,OUTDOOR
1934,Women's individual,Anna Moczulska,Silver,Female,Poland,Unknown,OUTDOOR
1934,Women's individual,Elsa Waldenström,Bronze,Female,Sweden,Unknown,OUTDOOR
1935,Men's individual,Adrien Van Kolen,Gold,Male,Belgium,Unknown,OUTDOOR
1935,Men's individual,Georges De Rons,Silver,Male,Belgium,Unknown,OUTDOOR
1935,Men's individual,Frans Walraevens,Bronze,Male,Belgium,Unknown,OUTDOOR
1935,Women's individual,Ina Catani,Gold,Female,Sweden,Unknown,OUTDOOR
1935,Women's individual,E. Atkinson  Great Britain,Silver,Female,Britain,Unknown,OUTDOOR
1935,Women's individual,Janina Kurkowska,Bronze,Female,Poland,Unknown,OUTDOOR
1936,Men's individual,Emil Heilborn,Gold,Male,Sweden,Unknown,OUTDOOR
1936,Men's individual,Georges De Rons,Silver,Male,Belgium,Unknown,OUTDOOR
1936,Men's individual,Jan Musilek  Czechoslovakia,Bronze,Male,Czechoslovakia,Unknown,OUTDOOR
1936,Women's individual,Janina Kurkowska,Gold,Female,Poland,Unknown,OUTDOOR
1936,Women's individual,Maria Pankow,Silver,Female,Poland,Unknown,OUTDOOR
1936,Women's individual,Ina Catani,Bronze,Female,Sweden,Unknown,OUTDOOR
1937,Men's individual,Georges De Rons,Gold,Male,Belgium,Unknown,OUTDOOR
1937,Men's individual,Feliks Majewski,Silver,Male,Poland,Unknown,OUTDOOR
1937,Men's individual,Oscar Kessels,Bronze,Male,Belgium,Unknown,OUTDOOR
1937,Women's individual,Erna Simon  Great Britain,Gold,Female,Britain,Unknown,OUTDOOR
1937,Women's individual,Irene Crupenninck,Silver,Female,France,Unknown,OUTDOOR
1937,Women's individual,Zofia Bunsch,Bronze,Female,Poland,Unknown,OUTDOOR
1938,Men's individual,František Hadaš I  Czechoslovakia,Gold,Male,Czechoslovakia,Unknown,OUTDOOR
1938,Men's individual,Feliks Majewski,Silver,Male,Poland,Unknown,OUTDOOR
1938,Men's individual,C. Smith  Great Britain,Bronze,Male,Britain,Unknown,OUTDOOR
1938,Women's individual,Nora Weston-Martyr  Great Britain  Louise Nettleton  Great Britain,Gold,Female,Britain,Unknown,OUTDOOR
1938,Women's individual,nan,Silver,Female,Unknown,Unknown,OUTDOOR
1938,Women's individual,Janina Kurkowska,Bronze,Female,Poland,Unknown,OUTDOOR
1939,Men's individual,Roger Beday,Gold,Male,France,Unknown,OUTDOOR
1939,Men's individual,Gaston Questemann,Silver,Male,France,Unknown,OUTDOOR
1939,Men's individual,A. H. Mole  Great Britain,Bronze,Male,Britain,Unknown,OUTDOOR
1939,Women's individual,Janina Kurkowska,Gold,Female,Poland,Unknown,OUTDOOR
1939,Women's individual,Natalia Szczycińska,Silver,Female,Poland,Unknown,OUTDOOR
1939,Women's individual,Louise Nettleton  Great Britain,Bronze,Female,Britain,Unknown,OUTDOOR
1946,Men's individual,Einar Tang-Holbeck,Gold,Male,Denmark,Unknown,OUTDOOR
1946,Men's individual,Hans Deutgen,Silver,Male,Sweden,Unknown,OUTDOOR
1946,Men's individual,Ove Hansen,Bronze,Male,Denmark,Unknown,OUTDOOR
1946,Women's individual,Petronella de Wharton-Burr  Great Britain,Gold,Female,Britain,Unknown,OUTDOOR
1946,Women's individual,Julia Stranne,Silver,Female,Sweden,Unknown,OUTDOOR
1946,Women's individual,Louise Nettleton  Great Britain,Bronze,Female,Britain,Unknown,OUTDOOR
1947,Men's individual,Hans Deutgen,Gold,Male,Sweden,Unknown,OUTDOOR
