,Name,Sex,Age,Year,Country,Event,Medal,Event_Type,Season
4877,Alphonse Allaert,M,44,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
4878,Alphonse Allaert,M,44,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
4879,Alphonse Allaert,M,44,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
9541,Virginie Arnold,F,28,2008,FRA,Archery Women's Team,Bronze,Team,Summer
9965,Loedmila Arzjannikova,F,34,1992,EUN,Archery Women's Team,Bronze,Team,Summer
11204,Mariana Avitia Martnez,F,18,2012,MEX,Archery Women's Individual,Bronze,Individual,Summer
12355,Bair Dorzhiyevich Badyonov,M,32,2008,RUS,Archery Men's Individual,Bronze,Individual,Summer
15143,"Jack Leonard ""Jay"" Barrs, Jr.",M,26,1988,USA,Archery Men's Individual,Gold,Individual,Summer
15144,"Jack Leonard ""Jay"" Barrs, Jr.",M,26,1988,USA,Archery Men's Team,Silver,Team,Summer
22406,Matteo Bisiani,M,19,1996,ITA,Archery Men's Team,Bronze,Team,Summer
22408,Matteo Bisiani,M,24,2000,ITA,Archery Men's Team,Silver,Team,Summer
29837,Reginald Brooks-King,M,46,1908,GBR,Archery Men's Double York Round,Silver,Team,Summer
30490,Julien Louis Brul,M,44,1920,FRA,"Archery Men's Target Archery, 33 metres, Individual",Silver,Individual,Summer
30491,Julien Louis Brul,M,44,1920,FRA,"Archery Men's Target Archery, 50 metres, Individual",Gold,Individual,Summer
30492,Julien Louis Brul,M,44,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
30493,Julien Louis Brul,M,44,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
30494,Julien Louis Brul,M,44,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
30850,"George Philip ""Phil"" Bryant",M,26,1904,USA,Archery Men's Double American Round,Gold,Team,Summer
30851,"George Philip ""Phil"" Bryant",M,26,1904,USA,Archery Men's Double York Round,Gold,Team,Summer
30852,"George Philip ""Phil"" Bryant",M,26,1904,USA,Archery Men's Team Round,Bronze,Team,Summer
30860,Wallace Bryant,M,40,1904,USA,Archery Men's Team Round,Bronze,Team,Summer
32073,Nataliya Andrivna Burdeina,F,26,2000,UKR,Archery Women's Team,Silver,Team,Summer
32996,Nataliya Anatolyevna Butuzova,F,26,1980,URS,Archery Women's Individual,Silver,Individual,Summer
33270,Charles Gustave Cabaret,M,41,1908,FRA,Archery Men's Continental Style,Bronze,Individual,Summer
38429,Chang Hye-Jin,F,29,2016,KOR,Archery Women's Individual,Gold,Individual,Summer
38430,Chang Hye-Jin,F,29,2016,KOR,Archery Women's Team,Gold,Team,Summer
39331,Chen Li-Ju,F,23,2004,TPE,Archery Women's Team,Bronze,Team,Summer
39335,Chen Ling,F,21,2008,CHN,Archery Women's Team,Silver,Team,Summer
39392,Chen Szu-Yuan,M,23,2004,TPE,Archery Men's Team,Silver,Team,Summer
39613,Cheng Ming,F,26,2012,CHN,Archery Women's Team,Silver,Team,Summer
40635,Cho Yun-Jeong,F,22,1992,KOR,Archery Women's Individual,Gold,Individual,Summer
40636,Cho Yun-Jeong,F,22,1992,KOR,Archery Women's Team,Gold,Team,Summer
