,Name,Sex,Age,Year,Event,Medal,Event_Type,Season
11204,Mariana Avitia Martnez,F,18,2012,Archery Women's Individual,Bronze,Individual,Summer
12355,Bair Dorzhiyevich Badyonov,M,32,2008,Archery Men's Individual,Bronze,Individual,Summer
15143,"Jack Leonard ""Jay"" Barrs, Jr.",M,26,1988,Archery Men's Individual,Gold,Individual,Summer
30490,Julien Louis Brul,M,44,1920,"Archery Men's Target Archery, 33 metres, Individual",Silver,Individual,Summer
30491,Julien Louis Brul,M,44,1920,"Archery Men's Target Archery, 50 metres, Individual",Gold,Individual,Summer
32996,Nataliya Anatolyevna Butuzova,F,26,1980,Archery Women's Individual,Silver,Individual,Summer
33270,Charles Gustave Cabaret,M,41,1908,Archery Men's Continental Style,Bronze,Individual,Summer
38429,Chang Hye-Jin,F,29,2016,Archery Women's Individual,Gold,Individual,Summer
40635,Cho Yun-Jeong,F,22,1992,Archery Women's Individual,Gold,Individual,Summer
42771,Edmond Cloetens,M,33,1920,"Archery Men's Pole Archery, Large Birds, Individual",Gold,Individual,Summer
46941,"Timothy John ""Tim"" Cuddihy",M,17,2004,Archery Men's Individual,Bronze,Individual,Summer
48317,Dai Xiaoxiang,M,21,2012,Archery Men's Individual,Bronze,Individual,Summer
58844,"Druart, Jr.",M,33,1900,Archery Men's Sur La Perche a La Herse,Silver,Individual,Summer
63166,Brady Lee Ellison,M,27,2016,Archery Men's Individual,Bronze,Individual,Summer
66067,Simon John Fairweather,M,30,2000,Archery Men's Individual,Gold,Individual,Summer
68437,Giancarlo Ferrari,M,33,1976,Archery Men's Individual,Bronze,Individual,Summer
68438,Giancarlo Ferrari,M,37,1980,Archery Men's Individual,Bronze,Individual,Summer
69887,mile Lon Fisseux,M,32,1900,"Archery Men's Au Cordon Dore, 50 metres",Bronze,Individual,Summer
70111,Firmin Flamand,M,33,1920,"Archery Men's Pole Archery, Large Birds, Individual",Bronze,Individual,Summer
70637,Sbastien Flte,M,20,1992,Archery Men's Individual,Gold,Individual,Summer
71713,Emmanuel Foulon,M,28,1900,Archery Men's Sur La Perche a La Herse,Gold,Individual,Summer
74241,Takaharu Furukawa,M,27,2012,Archery Men's Individual,Silver,Individual,Summer
74961,Marco Galiazzo,M,21,2004,Archery Men's Individual,Gold,Individual,Summer
75705,Emma Vasilyevna Gapchenko,F,34,1972,Archery Women's Individual,Bronze,Individual,Summer
80346,Louis Edouard Albert Glineur,M,50,1900,Archery Men's Sur La Perche a La Pyramide,Bronze,Individual,Summer
84814,Eugne Franois Grisot,M,41,1908,Archery Men's Continental Style,Gold,Individual,Summer
85434,mile Grumiaux,M,38,1900,Archery Men's Sur La Perche a La Pyramide,Gold,Individual,Summer
92648,He Ying,F,19,1996,Archery Women's Individual,Silver,Individual,Summer
93675,Henri Hyacinthe Helle,M,26,1900,"Archery Men's Au Chapelet, 50 metres",Silver,Individual,Summer
94742,Joseph Hermans,M,33,1920,"Archery Men's Pole Archery, Small Birds, Individual",Bronze,Individual,Summer
95035,"Henri Louis Hrouin, Sr.",M,24,1900,"Archery Men's Au Cordon Dore, 50 metres",Gold,Individual,Summer
95036,"Henri Louis Hrouin, Sr.",M,24,1900,Archery Men's Championnat Du Monde,Gold,Individual,Summer
